StoreID,Start-Date,End-Date
2181,2020-03-28,2020-05-31
2278,2020-03-04,2020-05-31
2051,2020-03-05,2020-05-31
8001,2020-03-09,2020-05-31
2289,2020-03-15,2020-05-31
4132,2020-03-17,2020-05-31
3080,2020-03-22,2020-05-31
3090,2020-03-24,2020-05-31
4136,2020-03-24,2020-05-31
3026,2020-03-24,2020-05-31
5373,2020-03-31,2020-05-31
4126,2020-04-09,2020-05-31
2247,2020-04-02,2020-05-31
3086,2020-04-06,2020-05-31
3754,2020-04-07,2020-05-31
3751,2020-04-07,2020-05-31
3761,2020-04-07,2020-05-31
3755,2020-04-07,2020-05-31
3722,2020-04-07,2020-05-31
2088,2020-04-12,2020-05-31
2042,2020-03-17,2020-05-31
2123,2020-04-14,2020-05-31
2038,2020-04-12,2020-05-31
2147,2020-04-13,2020-05-31
2223,2020-03-15,2020-05-31
2032,2019-07-16,2020-05-31
2021,2020-03-23,2020-05-31
8002,2020-04-06,2020-05-31
2063,2020-04-12,2020-05-31
2100,2020-04-12,2020-05-31
2177,2020-04-07,2020-05-31
2067,2020-04-07,2020-05-31
2082,2020-04-12,2020-05-31
2138,2020-04-12,2020-05-31
2194,2020-03-22,2020-05-31
2234,2020-04-12,2020-05-31
2148,2020-03-05,2020-05-31
2172,2020-03-18,2020-05-31
8502,2020-03-26,2020-05-31
5395,2020-03-26,2020-05-31
5386,2020-03-26,2020-05-31
